id,workstream,title,status,owner,acceptance
UNI-ADR-014,WS-SPEC,Accept Phase 9 resolution protection and recovery boundary,DONE,Protocol Architecture Authority,ADR 0019 fixes the complete synthetic local payoff refinance restructuring funded protection guarantee write-off and recovery boundary
UNI-RESIDUAL-003,WS-SPEC,Register Phase 8 cancellation reauthorization residual,DONE,Protocol Architecture Authority,Security Authority is mandatory co-owner and acceptance requires a separate production ADR for monotonic supersession or terminal recovery without weakening tombstone burn report and refund controls
UNI-RESIDUAL-004,WS-SPEC,Register Phase 8 authenticated collateral-absence residual,DONE,Protocol Architecture Authority,Security Authority is mandatory co-owner and acceptance requires a separate production ADR for finality-bound negative custody or safe terminalization that cannot race later custody
UNI-SCHEMA-013,WS-SCHEMA,Define Phase 9 resolution protection and recovery schemas,DONE,Protocol Architecture Authority,Canonical additive Protobuf defines quotes refinance restructuring coverage claims guarantees losses write-offs recoveries solvency accounting and reconciliation with deterministic four-language bindings and compatibility checks
UNI-ABI-009,WS-PROTOCOL,Freeze Phase 9 typed ABI storage and local token,DONE,Protocol Architecture Authority,Compileable typed interfaces events errors structs mappings deterministic ABI and storage-layout snapshots ProtocolCompilation imports formatting scope and a dedicated fixed-supply Phase9LocalSyntheticToken pass independent architecture and security review before state-changing business logic
UNI-ADR-015,WS-SPEC,Activate canonical Phase 9 payoff authority and implementation checkpoint,DONE,Protocol Architecture Authority,Reviewed ADR 0020 and backlog-aware activation tooling freeze coordinator-only quote authority canonical policy position component and route resolution exact expiry replay and source-checkpoint rules before UNI-PAYOFF-001 business logic can complete
UNI-PAYOFF-001,WS-PROTOCOL,Implement canonical payoff quote engine,TODO,Accounting and Economic Risk Authority,Versioned quote derives principal interest fees penalties credits net payoff debt snapshot settlement route and expiry from canonical state and rejects stale or substituted input
UNI-REFI-001,WS-PROTOCOL,Implement atomic refinance and lien handoff,TODO,Protocol Architecture Authority,New funding escrows before exact old payoff old senior lien extinguishes before new senior activation collateral never becomes borrower-withdrawable and only residual proceeds reach the canonical borrower
UNI-REFI-002,WS-PROTOCOL,Implement refinance expiry cancellation and failure recovery,TODO,Security Authority,Unaccepted or expired funding returns once to the new lender while accepted execution is atomic and every interrupted state resolves to prior validity or completed safe payoff
UNI-RESTRUCT-001,WS-PROTOCOL,Implement policy-bound restructuring and consent snapshot,TODO,Protocol Architecture Authority,Original amendment policy binds proposal disclosure borrower consent position snapshot quorum approval expiry execution and accounting delta without duplicate votes or hidden debt erasure
UNI-RESERVE-001,WS-PROTOCOL,Implement segregated synthetic funded reserve and solvency metrics,TODO,Accounting and Economic Risk Authority,Actual local token custody stress haircuts coverage commitments approved unpaid claims and restricted assets determine exact capacity without treasury or bridge double counting
UNI-INSURANCE-001,WS-PROTOCOL,Implement coverage premium claim and payout waterfall,TODO,Security Authority,Premium-backed policy and threshold adjudication cap eligible approved and paid amounts by loss deductible percentage policy remaining and funded capacity with exact beneficiary and no double claim
UNI-GUARANTEE-001,WS-PROTOCOL,Implement funded synthetic guarantee commitments,TODO,Accounting and Economic Risk Authority,Guarantor commitment is capped policy-bound and non-recovery until exact token receipt while payment creates an explicit bounded subrogation right
UNI-RECOVERY-002,WS-PROTOCOL,Implement loss write-off subrogation and later recovery allocation,TODO,Accounting and Economic Risk Authority,Collateral guarantor insurance write-off and actual later receipts share one loss identity and deterministic waterfall so debt loss proceeds and recovery rights cannot be duplicated
UNI-DATA-003,WS-LEDGER,Implement durable least-privilege Phase 9 stores,TODO,Security Authority,services/foundation-ledger migrations 000013_resolution_core 000014_protection_recovery and 000015_resolution_accounting own exactly 17 plus 21 plus 7 tables and expose reviewed append-only or compare-and-set quote refinance restructure protection claim loss recovery accounting reconciliation inbox outbox and checkpoint functions to separated runtime roles
UNI-ACCOUNTING-012,WS-LEDGER,Post Phase 9 resolution protection and recovery accounting,TODO,Accounting and Economic Risk Authority,Refinance restructuring premium reserve claim guarantee loss write-off subrogation and recovery journals are balanced immutable idempotent evidence-bound and denomination exact
UNI-RECON-004,WS-LEDGER,Reconcile debt liens reserve capacity claims loss rights and recoveries,TODO,Accounting and Economic Risk Authority,Contract custody debt position snapshots ledger control accounts solvency commitments payouts write-offs and later receipts match or leave visible owned aged differences
UNI-LOCAL-003,WS-PLATFORM,Run complete synthetic Phase 9 local product,TODO,Release Authority,One local flow uses the dedicated Phase9LocalSyntheticToken and completes refinance restructuring funded coverage eligible loss guarantee claim write-off later recovery reconciliation restart replay and one-command reset without Phase 8 token reuse production credentials or real value
UNI-SIM-008,WS-RISK,Simulate Phase 9 interruption consent reserve claim and recovery faults,TODO,Accounting and Economic Risk Authority,Randomized stale quote double lien partial failure vote replay reserve impairment claim duplication waterfall substitution write-off and recovery sequences preserve every Phase 9 invariant
UNI-RISK-003,WS-RISK,Register Phase 9 risks assumptions and local trust boundary,TODO,Accounting and Economic Risk Authority,RISK-PHASE9-001 through 015 and ASM-034 through 044 have owners controls expiry validation and CONTROLLED_LOCAL_ONLY disposition on final implementation
UNI-SEC-014,WS-SECURITY,Complete Phase 9 internal security review,TODO,Security Authority,Integrated resolution consent funded protection claim guarantee loss accounting and recovery controls have no unresolved critical or existential synthetic-local finding
UNI-REVIEW-012,WS-SPEC,Complete bounded Phase 9 engineering exit,TODO,Program Authority,Separate exit verifies all five Phase 9 work packages and six master-plan exit criteria while withholding real reserves guarantees legal recovery production providers keys assets loans and funds
