id,workstream,title,status,owner,acceptance
UNI-ADR-013,WS-SPEC,Accept Phase 8 cross-chain and wrapped UFT boundary,DONE,Protocol Architecture Authority,ADR 0018 fixes the complete staged local message wrapped UFT satellite loan accounting and recovery boundary
UNI-LOCAL-002,WS-PLATFORM,Bootstrap two isolated local EVM domains,TODO,Release Authority,Distinct local chain configuration observer RPC projection smoke and reset paths reproduce without production credentials or real value
UNI-POLICY-007,WS-PROTOCOL,Bind immutable cross-chain route and loan policy,TODO,Protocol Architecture Authority,Exact domains contracts adapters finality timeouts recovery exposure collateral and one-to-one UFT terms cannot change for an active loan
UNI-BRIDGE-001,WS-CROSSCHAIN,Implement canonical message coordinator and consumed registry,TODO,Protocol Architecture Authority,Domain-bound nonce digest state ordering and atomic destination consumption enforce at-most-once typed execution
UNI-BRIDGE-002,WS-CROSSCHAIN,Implement authenticated replaceable messaging adapters,TODO,Security Authority,Two transport-only mock adapters and user-submitted proof preserve source authority exact content finality and safe failover
UNI-INDEX-006,WS-INDEX,Project authenticated source destination and acknowledgement evidence,TODO,Protocol Architecture Authority,Signed canonical receipt and trie proof finality reorg bounds and alternate-authority rejection control both local domain projections
UNI-SCHEMA-012,WS-SCHEMA,Define cross-chain bridge satellite and recovery evidence,TODO,Protocol Architecture Authority,Additive authoritative Protobuf messages preserve domain policy message execution backing loan custody accounting and recovery in deterministic four-language bindings
UNI-RISK-002,WS-RISK,Register Phase 8 risks assumptions and exposure authority,TODO,Accounting and Economic Risk Authority,RISK-PHASE8-001 through 010 ASM-026 through 033 and the frozen synthetic circulating-supply evidence have owners controls expiry and validation
UNI-UFT-005,WS-UFT,Implement fully backed wrapped UFT round trip,TODO,Accounting and Economic Risk Authority,Lock before mint burn before release strict per-chain backing consumed messages exact recipients and local exposure caps conserve every unit
UNI-BRIDGE-003,WS-CROSSCHAIN,Implement timeout failure and compromised-route recovery,TODO,Security Authority,Finalized non-execution or compensation prevents timeout retry failover cancellation and recovery from unlocking value on both domains
UNI-DATA-002,WS-DATA,Implement durable least-privilege cross-chain stores,TODO,Security Authority,Three additive migrations expose only reviewed CAS execution accounting recovery and reconciliation functions to a tested runtime role with no authoritative direct writes
UNI-ACCOUNTING-011,WS-LEDGER,Post cross-chain bridge and loan accounting,TODO,Accounting and Economic Risk Authority,Lock pending wrapped outstanding burn release activation repayment collateral and recovery journals are balanced immutable idempotent and evidence-bound
UNI-RECON-003,WS-LEDGER,Reconcile both chains bridge backing loans and ledger,TODO,Accounting and Economic Risk Authority,Escrow wrapped supply messages custody debt lender release journals exposure and recovery differences remain exact visible owned aged and deadline-bound
UNI-LOAN-003,WS-PROTOCOL,Implement policy-bound canonical cross-chain loan version,TODO,Protocol Architecture Authority,Home debt activates only after finalized collateral and borrower disbursement while direct home repayment and immutable economics remain available
UNI-COLLATERAL-009,WS-COLLATERAL,Implement exclusive satellite collateral custody,TODO,Security Authority,One remote asset supports one canonical lien and releases once to the canonical borrower only after finalized home authorization
UNI-SATELLITE-001,WS-CROSSCHAIN,Implement bounded satellite loan components,TODO,Protocol Architecture Authority,Typed collateral disbursement repayment burn state report acknowledgement and release actions cannot rewrite home loan economics
UNI-SIM-007,WS-RISK,Simulate cross-chain finality backing and recovery faults,TODO,Accounting and Economic Risk Authority,Delay duplicate reorder reorg outage relayer compromise timeout route loss backing impairment and recovery scenarios preserve messages value debt and custody
UNI-SEC-013,WS-SECURITY,Complete Phase 8 internal review,TODO,Security Authority,Integrated message bridge wrapped UFT satellite loan accounting and recovery controls have no unresolved critical or existential local-scope finding
UNI-REVIEW-011,WS-SPEC,Complete bounded Phase 8 engineering exit,TODO,Program Authority,Independent exit verifies all five Phase 8 work packages while withholding production chain provider key real-fund public-network and mainnet authority
