id,workstream,title,status,owner,acceptance
UNI-ADR-008,WS-SPEC,Accept Phase 6 identity underwriting and exposure boundary,DONE,Protocol Architecture Authority,ADR 0013 accepted with privacy security accounting and risk constraints
UNI-IDENTITY-001,WS-PROTOCOL,Implement provider and credential registries,DONE,Security Authority,Issuer schema subject validity revocation scope epoch and assurance tests pass
UNI-UW-001,WS-PROTOCOL,Implement immutable credit decision registry,DONE,Protocol Architecture Authority,Policy model feature provenance product amount duration and expiry checks pass
UNI-EXPOSURE-001,WS-PROTOCOL,Implement subject-level exposure reservations,DONE,Accounting and Economic Risk Authority,Pending and active exposure cannot exceed the exact-asset decision limit
UNI-UWENGINE-001,WS-RISK,Implement deterministic underwriting rules,DONE,Accounting and Economic Risk Authority,Authenticated synthetic features yield versioned explainable decisions
UNI-SCHEMA-007,WS-SCHEMA,Define credential decision and exposure schemas,DONE,Protocol Architecture Authority,Commitment-only additive Protobuf generates deterministic bindings in four languages
UNI-ACCOUNTING-006,WS-LEDGER,Record decision and exposure control evidence,DONE,Accounting and Economic Risk Authority,Reservations activations releases and conflicts are immutable and idempotent
UNI-SIM-002,WS-RISK,Add synthetic identity and exposure simulations,DONE,Security Authority,Same-subject multi-wallet and reservation race scenarios conserve limits
UNI-SEC-008,WS-SECURITY,Complete Phase 6A internal review,DONE,Security Authority,No unresolved critical or existential finding
UNI-REVIEW-006,WS-SPEC,Complete bounded Phase 6A engineering exit,DONE,Program Authority,Exit evidence records commitment-only synthetic pass and deferred activation and production capabilities
UNI-ADR-009,WS-SPEC,Accept Phase 6B underwritten activation boundary,DONE,Protocol Architecture Authority,ADR 0014 fixes consent lender policy exposure funding rollback repayment and release invariants
UNI-UNSECURED-001,WS-PROTOCOL,Implement atomic underwritten loan factory,DONE,Protocol Architecture Authority,One transaction conserves exposure loan identity exact funding activation and rollback
UNI-POLICY-006,WS-PROTOCOL,Enforce underwritten product policy path,DONE,Protocol Architecture Authority,Version 3 requires the decision policy and legacy version 2 rejects the underwriting marker
UNI-CONSENT-002,WS-PROTOCOL,Bind borrower and lender activation authorization,DONE,Security Authority,Tender caller signed offer agreement and opaque consent evidence bind one exact activation
UNI-SCHEMA-008,WS-SCHEMA,Define underwritten activation evidence,DONE,Protocol Architecture Authority,Additive commitment-only Protobuf generates deterministic bindings in four languages
UNI-ACCOUNTING-007,WS-LEDGER,Record activation and terminal-release evidence,DONE,Accounting and Economic Risk Authority,Final linked records reconcile decision reservation loan funding and release
UNI-SIM-003,WS-RISK,Simulate activation atomicity and rollback,DONE,Accounting and Economic Risk Authority,Funding revocation mismatch replay pause repayment and release vectors conserve state
UNI-SEC-009,WS-SECURITY,Complete Phase 6B internal review,DONE,Security Authority,No unresolved critical or existential activation finding
UNI-REVIEW-007,WS-SPEC,Complete bounded Phase 6B engineering exit,DONE,Program Authority,Exit separates synthetic activation proof from production lending approval
UNI-CONSENT-001,WS-IDENTITY,Implement restricted consent and data vault,DEFERRED,Security Authority,Requires privacy legal retention encryption and access-audit approval
UNI-ZK-001,WS-IDENTITY,Implement zero-knowledge credentials and nullifiers,DEFERRED,Security Authority,Requires circuit threat model trusted setup decision and independent cryptographic review
UNI-REPUTATION-001,WS-RISK,Implement public reputation scoring,DEFERRED,Accounting and Economic Risk Authority,Requires manipulation bias privacy appeals and version-governance review
